2026-01-08 13:24:08.505 [info] Reading sessions from keychain...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got stored sessions!
2026-01-08 13:24:08.505 [info] Got 1 verified sessions.
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:08.505 [info] Getting sessions for all scopes...
2026-01-08 13:24:08.505 [info] Got 1 sessions for ...
2026-01-08 13:24:11.295 [info] Getting sessions for all scopes...
2026-01-08 13:24:11.295 [info] Got 1 sessions for ...
2026-01-08 13:24:11.380 [info] Getting sessions for all scopes...
2026-01-08 13:24:11.380 [info] Got 1 sessions for ...
2026-01-08 13:24:11.811 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-01-08 13:24:11.811 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-01-08 13:24:12.690 [info] Getting sessions for all scopes...
2026-01-08 13:24:12.690 [info] Got 1 sessions for ...
2026-01-08 13:24:12.852 [info] Getting sessions for all scopes...
2026-01-08 13:24:12.852 [info] Got 1 sessions for ...
2026-01-08 13:27:03.086 [info] Getting sessions for all scopes...
2026-01-08 13:27:03.086 [info] Got 1 sessions for ...
2026-01-08 13:27:14.793 [info] Getting sessions for all scopes...
2026-01-08 13:27:14.793 [info] Got 1 sessions for ...
2026-01-08 13:52:06.473 [info] Getting sessions for all scopes...
2026-01-08 13:52:06.477 [info] Got 1 sessions for ...
2026-01-08 13:52:07.637 [info] Getting sessions for all scopes...
2026-01-08 13:52:07.637 [info] Got 1 sessions for ...
